1, 9732475291,8363.383040935672,1026
1, mule-8906974031,0.0,263
1, 7384656641,3371.7079037800686,291
1, mule-null,0.0,834
2, 9732475291,72325.4043715847,549
2, 7384656641,202.8791134989926,1489
2, 9678961360,71301.50487329435,513
3, 9732475291,76099.08582089552,536
3, 7384656641,0.0,471
3, 7583967304,8026.031319910515,894
3, 9678961360,2782.510971786834,319
4, 9732475291,27249.487235594457,1371
4, 9678961360,0.0,225
4, mule-8906974031,14.612359550561798,356
4, 7384656641,2907.5914742451155,563
